ibu_id;last_name;first_name;country_code;gender;discipline
BTCZE23105200001;Vobornikova;Tereza;CZE;f;biathlon
BTUSA22705199201;Irwin;Deedra;USA;f;biathlon
BTFIN20812199401;Minkkinen;Suvi;FIN;f;biathlon
BTSLO20804200301;Repinc;Lena;SLO;f;biathlon
BTITA22803200101;Auchentaller;Hannah;ITA;f;biathlon
BTUSA23007199301;Dickinson;Kelsey Joan;USA;f;biathlon
BTLAT22706199101;Bendika;Baiba;LAT;f;biathlon
BTCAN22909200001;Peiffer;Benita;CAN;f;biathlon
BTAUT22903199801;Oberthaler;Kristina;AUT;f;biathlon
BTSWE21407199901;Johansson;Tilda;SWE;f;biathlon
BTUKR22509199701;Kryvonos;Anna;UKR;f;biathlon
;Granerud;Halvor Egner;NOR;m;skispringen
;Kubacki;Dawid;POL;m;skispringen
;Lanisek;Anze;SLO;m;skispringen
;Zyla;Piotr;POL;m;skispringen
;Stoch;Kamil;POL;m;skispringen
;Kraft;Stefan;AUT;m;skispringen
;Hayböck;Michael;AUT;m;skispringen
;Tschofenig;Daniel;AUT;m;skispringen
;Hörl;Jan;AUT;m;skispringen
;Fettner;Manuel;AUT;m;skispringen
;Wellinger;Andreas;GER;m;skispringen
;Kos;Lovro;SLO;m;skispringen
;Raimund;Philipp;GER;m;skispringen
;Zajc;Timi;SLO;m;skispringen
;Forfang;Johann Andre;NOR;m;skispringen
;Johansson;Robert;NOR;m;skispringen
;Schmid;Constantin;GER;m;skispringen
;Kobayashi;Ryoyu;JAP;m;skispringen
;Prevc;Peter;SLO;m;skispringen
;Aschenwald;Philipp;AUT;m;skispringen
;Jelar;Ziga;SLO;m;skispringen
;Wasek;Pawel;POL;m;skispringen
;Geiger;Karl;GER;m;skispringen
;Sundal;Kristoffer Eriksen;NOR;m;skispringen
;Lindvik;Marius;NOR;m;skispringen
;Leyhe;Stephan;GER;m;skispringen
;Tande;Daniel Andre;NOR;m;skispringen
;Deschwanden;Gregor;SUI;m;skispringen
;Prevc;Domen;SLO;m;skispringen
;Paschke;Pius;GER;m;skispringen
;Leitner;Clemens;AUT;m;skispringen
;Eisenbichler;Markus;GER;m;skispringen
;Aalto;Antti;FIN;m;skispringen
;Fannemel;Anders;NOR;m;skispringen
;Nakamura;Naoki;JAP;m;skispringen
;Zografski;Vladimir;BUL;m;skispringen
;Aigro;Artti;EST;m;skispringen
;Ipcioglu;Fatih TUR;GER;m;skispringen
;Palosaari;Vilho;FIN;m;skispringen
;Dean;Decker;USA;m;skispringen
;Insam;Alex;ITA;m;skispringen
;Hula;Stefan;POL;m;skispringen
;Vassilyev;Danil;KAZ;m;skispringen
;Koudelka;Roman;CZE;m;skispringen
;Belshaw;Erik;USA;m;skispringen
;Habdas;Jan;POL;m;skispringen
;Nikaido;Ren;JAP;m;skispringen
;Maltsev;Kevin;EST;m;skispringen
;Aigner;Clemens;AUT;m;skispringen
;Sato;Yukiya;JAP;m;skispringen
;Cecon;Francesco;ITA;m;skispringen
;Ortner;Maximilian;AUT;m;skispringen
;Bresadola;Giovanni;ITA;m;skispringen
;Hoffmann;Felix;GER;m;skispringen
;Kobayashi;Junshiro;JAP;m;skispringen
;Bedir;Muhammed Ali;TUR;m;skispringen
;Kytosaho;Niko;FIN;m;skispringen
;Moerth;Francisco;AUT;m;skispringen
;Hamann;Martin;GER;m;skispringen
;Mueller;Markus;AUT;m;skispringen
;Roth;Luca;GER;m;skispringen
;Sato;Keiichi;JAP;m;skispringen
